racism,sexism,normal,user_id,abuse,degree,closeness_centrality,betweenness_centrality,community,eigenvector_centrality,hubs,authorities,weighted_degree,clustering,pageRank,triangles,greedy_modularity_communities
0.0,0.000636213258684311,0.0024176103830003816,2105021,0.000636213258684311,53,0.4557870597870598,0.009705908612888704,7,0.11639527876410913,0.0073773613142482965,0.007377361314572488,51.00808625336927,0.19811320754716982,0.006588544362235384,273,1
0.0,0.0,0.00012724265173686224,3236121,0.0,11,0.3503405728674851,0.001169022610892727,15,0.01049823731500948,0.0006949952717415747,0.0006949952718088297,11.0,0.14545454545454545,0.0016071967887844759,8,0
0.0,0.0,0.00012724265173686224,8018342,0.0,2,0.3105991349239571,7.644050046209355e-05,7,0.0026755451399599743,0.00017248682276128102,0.00017248682277704752,2.0,0.0,0.0006235155102600717,0,1
0.0,0.0,0.0002544853034737245,8532872,0.0,3,0.3686146713031959,0.0,4,0.01700049841416369,0.001148198764223509,0.0011481987641621953,3.0,1.0,0.0005103737678683924,3,0
0.0,0.0,0.000636213258684311,9444022,0.0,7,0.38566597366597366,0.0001513333290721498,2,0.023381533419596392,0.001578215124255817,0.0015782151242236687,7.0,0.47619047619047616,0.0010446666153252583,10,0
0.0,0.00012724265173686224,0.00012724265173686224,9444712,0.00012724265173686224,2,0.35083750985027584,0.0,4,0.008581383032106711,0.0005441208849492944,0.0005441208848779175,2.0,1.0,0.00039727708391389344,1,3
0.0,0.0,0.00012724265173686224,9609622,0.0,26,0.38111008388974493,0.009803734895034793,1,0.025169783475371854,0.0016977818720818058,0.0016977818722571849,26.0,0.1076923076923077,0.004221309427629586,35,0
0.0,0.0,0.00012724265173686224,9792842,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0008906985621580354,12201452,0.0,6,0.35503413078149926,0.00018211970764367153,6,0.016667603543641205,0.00109876014995431,0.001098760149969349,6.0,0.13333333333333333,0.0008869764876648711,2,1
0.0,0.0002544853034737245,0.0008906985621580354,12385682,0.0002544853034737245,1,0.3164270078180526,0.0,2,0.0034392313284425133,0.0002356016115792155,0.00023560161156245708,1.0,0.0,0.0002705811670604844,0,0
0.0,0.0,0.000636213258684311,13005572,0.0,3,0.3195612977318404,0.00014438669020359782,1,0.003114215318982657,1.44872908157703e-07,1.448729081790923e-07,0.008086253369272238,0.0,0.00013658412849648256,0,0
0.0,0.0,0.00012724265173686224,13207852,0.0,1,0.33820480097234884,0.0,1,0.00575580653456656,0.00039164073185182606,0.0003916407318040434,1.0,0.0,0.00026752656425897865,0,0
0.0,0.00012724265173686224,0.00012724265173686224,13377442,0.00012724265173686224,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.00012724265173686224,0.08576154727064512,0.27204478941341137,13857342,0.08588878992238198,66,0.4367400431626447,0.05675299710964833,5,0.07586233338767333,7.696833163417375e-05,7.696833163553307e-05,1.307277628032343,0.048484848484848485,0.001377876885153373,104,1
0.0,0.00012724265173686224,0.00012724265173686224,14451059,0.00012724265173686224,3,0.34068931741659014,4.2084602369758375e-05,2,0.005282647543744662,0.0003489047397499968,0.00034890473976011995,3.0,0.0,0.0005569358573393578,0,0
0.0,0.0,0.0005089706069474489,14473703,0.0,6,0.3531753133428526,0.0026697969698515783,6,0.015407701909405264,0.001006653656692337,0.0010066536566951498,6.0,0.4666666666666667,0.0009619660938780238,7,1
0.0,0.0,0.00012724265173686224,14522298,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.00012724265173686224,14567099,0.0,6,0.3254479532163743,5.111105519421414e-05,15,0.0062730604805678455,0.0004013247367078538,0.00040132473673869896,6.0,0.3333333333333333,0.0008907058677227726,5,3
0.0,0.0,0.00012724265173686224,14707553,0.0,15,0.37551686909581644,0.002396559344528989,4,0.022885991686772453,0.0015225811610888084,0.0015225811611308054,15.0,0.17142857142857143,0.002073722789980855,18,0
0.0,0.00012724265173686224,0.00012724265173686224,14711982,0.00012724265173686224,80,0.47779866924232667,0.03231105200126112,4,0.14208036803720514,0.009397807147247313,0.009397807147550518,78.0053908355795,0.1300632911392405,0.0099720272797953,411,0
0.0,0.0,0.000636213258684311,14770241,0.0,6,0.3834735572782085,0.0006532611134358856,4,0.019642984556986588,0.0013166104417973263,0.0013166104417517283,6.0,0.2,0.0009025836375426429,3,0
0.0,0.00012724265173686224,0.000636213258684311,14861476,0.00012724265173686224,3,0.3377429828554089,1.6859493845790947e-05,4,0.007945736386674314,0.0005015240624351271,0.0005015240624616198,2.0026954177897576,0.3333333333333333,0.00036485892857800986,1,8
0.0,0.0,0.00012724265173686224,15037961,0.0,4,0.35554448171218656,0.0026759054774359225,15,0.010191607707773038,0.0006877470142388425,0.0006877470142140033,4.0,0.16666666666666666,0.0007861087498052999,1,8
0.0,0.0,0.00012724265173686224,15054967,0.0,1,0.34885817270020375,0.0,1,0.006965004824537051,0.00045454491390252715,0.0004545449138186412,1.0,0.0,0.0002782289126305755,0,2
0.0,0.0005089706069474489,0.0015269118208423465,15641984,0.0005089706069474489,15,0.3934365500176741,0.001169671589631962,6,0.040013242206026915,0.0026458171021403504,0.00264581710215217,15.0,0.3142857142857143,0.001966615773712156,33,1
0.0,0.0,0.00012724265173686224,15686545,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.00012724265173686224,0.00012724265173686224,15902589,0.00012724265173686224,3,0.33066904337492575,0.00015067296925010693,5,0.004731056200497791,0.00031794418024517064,0.0003179441802331276,3.0,0.0,0.0005246499216817299,0,3
0.0,0.0,0.00012724265173686224,15929162,0.0,1,0.23044140786749484,0.0,15,7.865817952542055e-05,5.12055763476533e-06,5.120557635321427e-06,1.0,0.0,0.0002879148222165354,0,3
0.0,0.00012724265173686224,0.00012724265173686224,16237972,0.00012724265173686224,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.00012724265173686224,16329558,0.0,10,0.34432544470224286,0.0002169082516043557,5,0.013550355105471333,0.0008991074416603221,0.0008991074417407875,10.0,0.26666666666666666,0.0013527702460891006,12,3
0.0,0.0,0.00012724265173686224,16356699,0.0,9,0.36072986549991903,0.0001662024294829661,15,0.019900946768434166,0.001334290422896941,0.0013342904229477598,9.0,0.2222222222222222,0.001186686306283089,8,3
0.0,0.0,0.00012724265173686224,16497375,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.00012724265173686224,16896391,0.0,9,0.40658703196347035,6.348490448171245e-05,6,0.04194451309243741,0.0027511094555245333,0.0027511094554226296,9.0,0.8333333333333334,0.0011959998103045137,30,1
0.0,0.0,0.00012724265173686224,16947907,0.0,10,0.3595064599483204,0.0007110346481953594,15,0.020993719332153764,0.0013782513985721332,0.001378251398612416,10.0,0.24444444444444444,0.0014108119511056236,11,1
